,price_type,metric_code,study_number,location_type,adjustment_index,adjusted,sale_type,frequency,date,rand_millions,datetime
120,Constant prices,A64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,food,MONTHLY,09-2005,,2005-09-01
121,Constant prices,B64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,bar,MONTHLY,09-2005,,2005-09-01
122,Constant prices,C64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,other,MONTHLY,09-2005,,2005-09-01
123,Constant prices,D64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,total,MONTHLY,09-2005,,2005-09-01
124,Constant prices,A64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,food,MONTHLY,09-2005,,2005-09-01
125,Constant prices,B64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,bar,MONTHLY,09-2005,,2005-09-01
126,Constant prices,C64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,other,MONTHLY,09-2005,,2005-09-01
127,Constant prices,D64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,total,MONTHLY,09-2005,,2005-09-01
128,Current prices,A64201,P6420,Restaurants and coffee shops,,Actual figures,food,MONTHLY,10-2005,972.0,2005-10-01
129,Current prices,B64201,P6420,Restaurants and coffee shops,,Actual figures,bar,MONTHLY,10-2005,127.1,2005-10-01
130,Current prices,C64201,P6420,Restaurants and coffee shops,,Actual figures,other,MONTHLY,10-2005,9.9,2005-10-01
131,Current prices,D64201,P6420,Restaurants and coffee shops,,Actual figures,total,MONTHLY,10-2005,1109.0,2005-10-01
132,Current prices,A64203,P6420,Take-away and fast food,,Actual figures,food,MONTHLY,10-2005,460.2,2005-10-01
133,Current prices,B64203,P6420,Take-away and fast food,,Actual figures,bar,MONTHLY,10-2005,1.5,2005-10-01
134,Current prices,C64203,P6420,Take-away and fast food,,Actual figures,other,MONTHLY,10-2005,0.3,2005-10-01
135,Current prices,D64203,P6420,Take-away and fast food,,Actual figures,total,MONTHLY,10-2005,462.0,2005-10-01
136,Current prices,A64209,P6420,Catering,,Actual figures,food,MONTHLY,10-2005,341.4,2005-10-01
137,Current prices,B64209,P6420,Catering,,Actual figures,bar,MONTHLY,10-2005,45.3,2005-10-01
138,Current prices,C64209,P6420,Catering,,Actual figures,other,MONTHLY,10-2005,70.4,2005-10-01
139,Current prices,D64209,P6420,Catering,,Actual figures,total,MONTHLY,10-2005,457.1,2005-10-01
140,Current prices,A64200,P6420,Total industry,,Actual figures,food,MONTHLY,10-2005,1773.6,2005-10-01
141,Current prices,B64200,P6420,Total industry,,Actual figures,bar,MONTHLY,10-2005,173.9,2005-10-01
142,Current prices,C64200,P6420,Total industry,,Actual figures,other,MONTHLY,10-2005,80.6,2005-10-01
143,Current prices,D64200,P6420,Total industry,,Actual figures,total,MONTHLY,10-2005,2028.1,2005-10-01
144,Constant prices,A64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,food,MONTHLY,10-2005,,2005-10-01
145,Constant prices,B64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,bar,MONTHLY,10-2005,,2005-10-01
146,Constant prices,C64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,other,MONTHLY,10-2005,,2005-10-01
147,Constant prices,D64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,total,MONTHLY,10-2005,,2005-10-01
148,Constant prices,A64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,food,MONTHLY,10-2005,,2005-10-01
149,Constant prices,B64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,bar,MONTHLY,10-2005,,2005-10-01
150,Constant prices,C64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,other,MONTHLY,10-2005,,2005-10-01
151,Constant prices,D64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,total,MONTHLY,10-2005,,2005-10-01
152,Constant prices,A64209_CON,P6420,Catering,2015 = 100,Actual figures,food,MONTHLY,10-2005,,2005-10-01
153,Constant prices,B64209_CON,P6420,Catering,2015 = 100,Actual figures,bar,MONTHLY,10-2005,,2005-10-01
154,Constant prices,C64209_CON,P6420,Catering,2015 = 100,Actual figures,other,MONTHLY,10-2005,,2005-10-01
155,Constant prices,D64209_CON,P6420,Catering,2015 = 100,Actual figures,total,MONTHLY,10-2005,,2005-10-01
156,Constant prices,A64200_CON,P6420,Total industry,2015 = 100,Actual figures,food,MONTHLY,10-2005,,2005-10-01
157,Constant prices,B64200_CON,P6420,Total industry,2015 = 100,Actual figures,bar,MONTHLY,10-2005,,2005-10-01
158,Constant prices,C64200_CON,P6420,Total industry,2015 = 100,Actual figures,other,MONTHLY,10-2005,,2005-10-01
159,Constant prices,D64200_CON,P6420,Total industry,2015 = 100,Actual figures,total,MONTHLY,10-2005,,2005-10-01
160,Current prices,A64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,food,MONTHLY,10-2005,974.3,2005-10-01
161,Current prices,B64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,bar,MONTHLY,10-2005,130.2,2005-10-01
162,Current prices,C64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,other,MONTHLY,10-2005,10.1,2005-10-01
163,Current prices,D64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,total,MONTHLY,10-2005,1114.6,2005-10-01
164,Current prices,A64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,food,MONTHLY,10-2005,458.8,2005-10-01
165,Current prices,B64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,bar,MONTHLY,10-2005,1.4,2005-10-01
